geoid,county,rural,black,income,collegewhite,nodiploma,highschoolgrad,collegedegree,homeprice,whitecollar,early_late,privateschool,moved
1400000US37063001708,Durham,Urban,-10.23,15772,0.63,6.194295445,-17.47467007,17.68487705,9300,-0.9,-19.23247046,0.239647713,-19.47211817
1400000US37063001709,Durham,Urban,-6.21,3220,0.39,-0.077082081,4.614599815,-7.372829822,-24900,-1.9,-19.25496011,-2.543967927,-16.71099218
1400000US37063001710,Durham,Urban,8.79,10588,3.61,-6.463304284,1.437756537,4.777856649,5300,5.8,-10.18061718,-0.533778952,-9.646838229
1400000US37063001711,Durham,Urban,8.7,5661,2.13,-3.779399118,-3.564025744,12.77132628,7700,3.6,-15.35559915,0.55751972,-15.91311887
1400000US37063001801,Durham,Rural,-6.79,3027,1.76,6.534666341,-13.49383858,7.212205676,5500,-11.8,-12.61704891,1.186901247,-13.80395016
1400000US37063001802,Durham,Urban,-12.02,1184,-1.36,4.704835822,9.622627566,-16.18012358,-400,-8.5,-10.1068033,-0.235700755,-9.87110254
1400000US37063001806,Durham,Rural,-1.12,-4288,1.38,-1.793439246,-0.546680547,12.09379633,-14200,-11.4,-17.53297667,1.983476226,-19.5164529
1400000US37063001807,Durham,Rural,0.77,4359,1.92,2.145581691,-10.89167749,-20.37413105,-3000,2.2,-14.50535089,0.271445626,-14.77679651
1400000US37063001808,Durham,Rural,2.95,6972,5.98,-6.452717728,-7.66802697,27.65821786,23100,9.8,-17.67266553,0.820541002,-18.49320653
1400000US37063001809,Durham,Rural,4.98,5263,0.61,-3.27434122,2.28104752,-63.13520792,16000,5.9,-22.4482597,2.772019886,-25.22027959
1400000US37063001900,Durham,Rural,1.24,4902,-1.92,-1.559847389,-3.655292869,29.17406053,35100,0.7,-17.83850324,-0.565623292,-17.27287995
1400000US37063002007,Durham,Urban,4.76,11630,3.39,-6.463597038,-4.662923401,-35.98627239,4600,-1.6,-34.33347023,-0.133329608,-34.20014062
1400000US37063002008,Durham,Urban,3.03,4554,4.01,-7.746025823,-4.52390296,39.42156584,67000,5.1,-19.12384426,3.334762765,-22.45860702
1400000US37063002009,Durham,Urban,-8.6,-6512,-1.3,-4.582579978,11.20235923,-9.175447335,-7600,-12,-5.448439282,-2.308839904,-3.139599378
1400000US37063002013,Durham,Urban,1.7,4634,2.9,6.910451977,-4.50348513,-3.378094681,8700,-3.5,-15.890462,-3.159609128,-12.73085287
1400000US37063002015,Durham,Urban,-10.96,-350,1.84,6.872891845,0.752218542,-1.997200094,18800,-0.2,-19.71433465,-1.054316015,-18.66001864
1400000US37063002016,Durham,Urban,6.17,1728,-0.86,-2.785504431,6.664122616,5.786373065,-37700,5.4,-14.45148977,-4.054332391,-10.39715738
1400000US37063002017,Durham,Rural,3.48,-829,1.1,2.384182367,-2.785493154,13.72316468,-2100,0.4,-23.10124486,-6.08028041,-17.02096445
1400000US37063002018,Durham,Urban,5.36,21542,-1.57,-0.277212274,1.932259049,-63.68790011,-8800,-3,-28.4840697,1.438486874,-29.92255658
1400000US37063002019,Durham,Rural,1.02,28907,8.24,-1.27894548,1.459261437,13.80299295,31900,-6.5,-17.65696749,0.051625069,-17.70859256
1400000US37063002020,Durham,Rural,-8.72,9719,1.63,1.356085661,2.375700479,-22.27547405,19600,1.4,-26.10523926,-1.06360676,-25.0416325
