Census tract,County,total17,total10,black17,black10,Change in black population,income2017,income2010,income,collegewhite17,collegewhite10,nodiploma17,highschoolgrad17,collegedegree17,nodiploma10,highschoolgrad10,collegedegree10,homeprice17,homeprice10,homeprice,employed17,white1_17,white2_17,white3_17,whitecollar17,employed10,white1_10,white2_10,white3_10,whitecollar10,whitecollar,early_late17,early_late10,privateschool17,totalpop17,privateschool10,totalpop10,moved17,moved10
1400000US37063000700,Durham,3745,2698,1135,895,240,51144,55405,-4261,1320,916,298,738,1720,281,558,1159,289000,268600,20400,1786,75,13.4,7.3,95.7,1597,63.2,14.5,10.3,88,7.7,751,2227,227,3538,267,2576,5.67,1.38468196
1400000US37063000900,Durham,2109,1463,1262,1174,88,29552,17404,12148,55,0,504,706,144,303,385,96,103600,74300,29300,984,8.2,33.2,14.8,56.2,482,11.2,21.2,32.4,64.8,-8.6,722,878,46,1970,34,1382,6.24,3.1945789
1400000US37063001001,Durham,3801,3195,2583,1886,697,30800,25025,5775,173,55,956,1193,365,775,1096,147,87100,76700,10400,1717,19.5,35.6,20.9,76,1113,9.5,46.7,8.5,64.7,11.3,1169,1946,62,3679,23,3042,0.99,1.67552105
1400000US37063001002,Durham,6123,5201,2470,2767,-297,30151,28924,1227,30,38,1701,1648,351,1089,1778,176,86100,87000,-900,3084,11.1,43.7,14,68.8,2246,13.5,30.9,16.4,60.8,8,2681,3637,308,5872,97,4920,1.33,4.3334183
1400000US37063001100,Durham,3425,2193,2072,1660,412,22055,18169,3886,174,8,686,1152,309,526,686,40,133600,78600,55000,1361,21.6,41.6,11.9,75.1,777,9.9,43.4,21.2,74.5,0.6,987,1306,125,3243,0,2010,3.55,1.31414268
1400000US37063001301,Durham,1384,1047,1152,917,235,28661,13778,14883,12,0,104,575,133,153,336,65,77400,85500,-8100,569,27.9,34.1,18.6,80.6,330,16.7,30.3,25.5,72.5,8.1,376,503,31,1265,14,1010,0.56,5.77367206
1400000US37063001303,Durham,3646,2778,3114,2504,610,25074,23214,1860,5,0,182,834,280,215,481,142,107900,91500,16400,1443,22.6,26.7,39.1,88.4,739,29.1,25.6,40.3,95,-6.6,909,1132,471,3646,32,2778,4.57,5.89165678
1400000US37063001304,Durham,3305,2551,2409,2044,365,23125,24211,-1086,0,0,448,1145,233,358,851,207,125200,100400,24800,1305,15.6,49.8,15.1,80.5,885,19.4,26.2,13.9,59.5,21,989,1576,92,3130,20,2314,1.8,2.2875817
1400000US37063001400,Durham,2375,3283,2005,3103,-1098,18114,16185,1929,7,0,442,592,224,591,851,188,70200,84700,-14500,605,18.8,17,22.6,58.4,848,16.9,28.2,31,76.1,-17.7,410,1557,63,2167,65,2941,0.46,3.10077519
1400000US37063001501,Durham,2948,4486,745,335,410,11250,9010,2240,14,0,10,19,32,0,47,0,Na,Na,#VALUE!,282,34.4,22.7,39.7,96.8,1391,59.7,5.5,33.3,98.5,-1.7,171,1948,2434,2948,2501,4486,15.06,4.12394115
1400000US37063001502,Durham,6041,5412,1796,1542,254,28868,24129,4739,610,269,633,1206,1797,885,1041,1011,Na,166400,#VALUE!,2832,45,19.7,19.2,83.9,2402,38.2,19.7,21.9,79.8,4.1,1663,3756,1409,5853,590,4941,10.12,8.69565217
